velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.71348983,-0.7074359,0.08939192,-0.53881645,-0.9367683
-0.85352105,-0.70637804,0.0896267,-0.53881645,-0.9367683
-0.9367683,-0.70329964,0.087128446,-0.53881645,-0.9367683
-0.8951098,-0.69786024,0.08063048,-0.53881645,-0.8951098
-0.8120899,-0.69441795,0.075656585,-0.53881645,-0.86240464
-0.7038712,-0.6932502,0.07426923,-0.53881645,-0.86240464
-0.67429465,-0.6954084,0.076091975,-0.53881645,-0.86240464
-0.6847062,-0.69767046,0.07710503,-0.53881645,-0.86240464
-0.7097151,-0.6979037,0.077083096,-0.53881645,-0.86240464
-0.77721244,-0.6958101,0.07814797,-0.53881645,-0.86240464
-0.741882,-0.6908994,0.08055597,-0.53167593,-0.86240464
-0.66406804,-0.68633133,0.08394021,-0.5134807,-0.86240464
-0.59717566,-0.68475753,0.08507285,-0.5134807,-0.86240464
-0.58566403,-0.6874251,0.08437301,-0.5134807,-0.86240464
-0.6423125,-0.6934478,0.08758099,-0.5134807,-0.88679963
-0.7684632,-0.7003899,0.09655005,-0.5134807,-0.98941845
-0.86240464,-0.70606315,0.10803444,-0.5134807,-1.0521281
-0.85870117,-0.7086045,0.113059685,-0.5134807,-1.0521281
-0.8181924,-0.7076628,0.111996666,-0.5134807,-1.0521281
-0.73215044,-0.70480055,0.11095926,-0.5134807,-1.0521281
-0.6531256,-0.7013408,0.112735204,-0.5134807,-1.0521281
-0.6078793,-0.69944817,0.11431219,-0.5134807,-1.0521281
-0.63439405,-0.6999617,0.11395679,-0.5134807,-1.0521281
-0.7130553,-0.70169634,0.11360509,-0.5134807,-1.0521281
-0.7930753,-0.703868,0.11483264,-0.5134807,-1.0521281
-0.8100421,-0.7056792,0.116920635,-0.5134807,-1.0521281
-0.76249456,-0.7060931,0.11732524,-0.5134807,-1.0521281
-0.6525986,-0.7057416,0.117181994,-0.5134807,-1.0521281
-0.57562304,-0.7053609,0.117384814,-0.5134807,-1.0521281
-0.59045064,-0.7047763,0.1181,-0.5134807,-1.0521281
-0.65103775,-0.703648,0.119448625,-0.5134807,-1.0521281
-0.7581617,-0.70264727,0.12009314,-0.5134807,-1.0521281
-0.760155,-0.7022081,0.11992937,-0.5134807,-1.0521281
-0.7558335,-0.70363337,0.12102799,-0.5134807,-1.0521281
-0.6908993,-0.7051699,0.122163326,-0.5134807,-1.0521281
-0.61595374,-0.70677865,0.12249397,-0.5134807,-1.0521281
-0.6197473,-0.70710176,0.12227513,-0.5134807,-1.0521281
-0.6634086,-0.705412,0.12404162,-0.5134807,-1.0521281
-0.7440077,-0.7028203,0.12622662,-0.5134807,-1.0521281
-0.76652366,-0.6998103,0.12700059,-0.5134807,-1.0521281
-0.73098093,-0.6989759,0.12669621,-0.5134807,-1.0521281
-0.6239891,-0.7007452,0.12774421,-0.5134807,-1.0521281
-0.53881645,-0.70457274,0.1282531,-0.5134807,-1.0521281
-0.5589974,-0.70902765,0.12627137,-0.5134807,-1.0521281
-0.6238327,-0.71133405,0.1245514,-0.5134807,-1.0521281
-0.7066209,-0.71111006,0.12471857,-0.5134807,-1.0521281
-0.6798703,-0.7096927,0.1251634,-0.5134807,-1.0521281
-0.6986381,-0.709679,0.12516671,-0.5134807,-1.0521281
-0.6623643,-0.7111423,0.12545645,-0.5134807,-1.0521281
-0.69742435,-0.71312517,0.12545331,-0.5134807,-1.0521281
-0.66059375,-0.71356183,0.1254359,-0.5134807,-1.0521281
-0.6996024,-0.7136283,0.12540872,-0.5134807,-1.0521281
-0.66479725,-0.712746,0.12565921,-0.5134807,-1.0521281
-0.72300076,-0.71360606,0.12547512,-0.5134807,-1.0521281
-0.7537036,-0.7147422,0.12581185,-0.5134807,-1.0521281
-0.81177986,-0.71735555,0.12793326,-0.5134807,-1.0521281
-0.7873947,-0.71913004,0.12983182,-0.5134807,-1.0521281
-0.69636446,-0.7198121,0.13027743,-0.5134807,-1.0521281
-0.60503983,-0.7203712,0.13023557,-0.5134807,-1.0521281
-0.53167593,-0.7192816,0.13141845,-0.5134807,-1.0521281
-0.5134807,-0.71902484,0.13179658,-0.5134807,-1.0521281
-0.5853807,-0.7190427,0.13176866,-0.51437783,-1.0521281
-0.7305521,-0.7187465,0.13208508,-0.51437783,-1.0521281
-0.88679963,-0.7183721,0.13207763,-0.51437783,-1.0521281
-0.98941845,-0.71743006,0.13103676,-0.51437783,-1.0521281
-1.0521281,-0.714389,0.12637061,-0.51437783,-1.0521281
-0.98946756,-0.7085683,0.11703814,-0.51437783,-0.98946756
-0.8116167,-0.7022602,0.11001753,-0.51437783,-0.9005016
-0.67507964,-0.6992794,0.109028876,-0.51437783,-0.9005016
-0.55916435,-0.69943887,0.108999185,-0.51437783,-0.9005016
-0.55849004,-0.70333534,0.10738539,-0.51437783,-0.9005016
-0.6335574,-0.70858175,0.10658563,-0.51437783,-0.9005016
-0.72112614,-0.7114928,0.10648437,-0.51437783,-0.9005016
-0.8216373,-0.70968515,0.10707092,-0.51437783,-0.9005016
-0.8836371,-0.7031279,0.1100131,-0.49377283,-0.9005016
-0.8307351,-0.6952997,0.11081305,-0.4922248,-0.9005016
-0.74492335,-0.69027513,0.1102524,-0.4922248,-0.9005016
-0.6335608,-0.6888245,0.1100007,-0.4922248,-0.9005016
-0.546396,-0.69227624,0.11091644,-0.4922248,-0.9005016
-0.5340362,-0.69891924,0.11192232,-0.4922248,-0.9005016
-0.6009969,-0.70516783,0.11126206,-0.4922248,-0.9005016
-0.7362064,-0.70850843,0.1105897,-0.4922248,-0.9005016
-0.8314189,-0.70730054,0.11061038,-0.4922248,-0.9005016
-0.8326606,-0.7034935,0.109543584,-0.4922248,-0.9005016
-0.77133495,-0.6991785,0.108615845,-0.4922248,-0.9005016
-0.6321057,-0.6969483,0.10825561,-0.4922248,-0.9005016
-0.53526044,-0.6992299,0.10806697,-0.4922248,-0.9005016
-0.5338253,-0.70450217,0.1063557,-0.4922248,-0.9005016
-0.59351003,-0.7101888,0.10466582,-0.4922248,-0.9005016
-0.7248028,-0.7146299,0.1043312,-0.4922248,-0.9005016
-0.81944793,-0.7157611,0.10474123,-0.4922248,-0.9005016
-0.8153654,-0.7126742,0.103911065,-0.4922248,-0.9005016
-0.76155967,-0.7088239,0.10360087,-0.4922248,-0.9005016
-0.67431885,-0.70495874,0.10515475,-0.4922248,-0.9005016
-0.6126302,-0.70327646,0.10629808,-0.4922248,-0.9005016
-0.63575435,-0.7043912,0.105631806,-0.4922248,-0.9005016
-0.67918515,-0.70747536,0.10583384,-0.4922248,-0.9005016
-0.7718059,-0.70901376,0.10597037,-0.4922248,-0.9005016
-0.7615062,-0.70588,0.10638308,-0.4922248,-0.9005016
-0.7192597,-0.7007953,0.109629005,-0.4922248,-0.9005016
-0.6639133,-0.69632757,0.113276504,-0.4922248,-0.9005016
-0.6554895,-0.6939474,0.11516731,-0.4922248,-0.9005016
-0.7077938,-0.6944651,0.115051396,-0.4922248,-0.9005016
-0.7798137,-0.6958412,0.11561279,-0.4922248,-0.9005016
-0.88437265,-0.6957008,0.115514934,-0.4922248,-0.9005016
-0.9005016,-0.6926415,0.11246288,-0.4922248,-0.9005016
-0.82149494,-0.6882039,0.10848053,-0.4922248,-0.8785421
-0.7243182,-0.68492615,0.10686757,-0.4922248,-0.8785421
-0.5505602,-0.6840526,0.106720425,-0.4922248,-0.8785421
-0.51884234,-0.6882333,0.10549652,-0.4922248,-0.8785421
-0.51437783,-0.6950033,0.10526991,-0.4922248,-0.8785421
-0.57056904,-0.7016451,0.10413431,-0.4922248,-0.8785421
-0.7118299,-0.7051113,0.10258653,-0.4922248,-0.8785421
-0.8396937,-0.70380044,0.10291058,-0.4922248,-0.8785421
-0.8373672,-0.699591,0.10156162,-0.4922248,-0.8785421
-0.7610944,-0.6961049,0.099747926,-0.4922248,-0.8785421
-0.6740635,-0.69509155,0.09933907,-0.4922248,-0.8785421
-0.6625733,-0.69804335,0.10085167,-0.4922248,-0.8785421
-0.6830527,-0.7005728,0.10151422,-0.4922248,-0.8785421
-0.7539922,-0.7014361,0.10154509,-0.4922248,-0.8785421
-0.8208091,-0.6983063,0.10228589,-0.4922248,-0.8785421
-0.7791048,-0.69342226,0.102149986,-0.4922248,-0.8785421
-0.6307504,-0.69052625,0.10173156,-0.4922248,-0.8785421
-0.49377283,-0.69222945,0.101428956,-0.4922248,-0.8785421
-0.4922248,-0.6986477,0.09878667,-0.4922248,-0.8785421
-0.57950646,-0.7053645,0.09589835,-0.4958775,-0.8785421
-0.6723934,-0.70927024,0.09466169,-0.4958775,-0.8785421
-0.8061484,-0.7088225,0.09488776,-0.4958775,-0.8785421
-0.8785421,-0.7035056,0.09671579,-0.4958775,-0.8785421
-0.846468,-0.6971444,0.09544534,-0.4958775,-0.8573391
-0.76802665,-0.6930572,0.09331526,-0.4958775,-0.8573391
-0.6758138,-0.6921685,0.09280726,-0.4958775,-0.8573391
-0.64106554,-0.6929436,0.09282926,-0.4958775,-0.8573391
-0.61691844,-0.6936112,0.09257344,-0.4958775,-0.8573391
-0.65982044,-0.6932624,0.092893995,-0.4958775,-0.8573391
-0.7461867,-0.6922729,0.093506515,-0.4958775,-0.8573391
-0.7988755,-0.6912984,0.09319294,-0.4958775,-0.8573391
-0.8181577,-0.69091344,0.092786685,-0.4958775,-0.8573391
-0.81556106,-0.69030225,0.09204419,-0.4958775,-0.8573391
-0.781366,-0.68924475,0.09089553,-0.4958775,-0.8573391
-0.6650995,-0.6874417,0.089939415,-0.4958775,-0.8573391
-0.6228508,-0.68524873,0.09177538,-0.4958775,-0.8573391
-0.56829923,-0.6840594,0.09295414,-0.4958775,-0.8573391
-0.5902059,-0.6849959,0.09201427,-0.4958775,-0.8573391
